client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-3554,JA96P6,Image Campaign,Robotics,275959.0,36421139.0,31366.0,3060.0,820115.0,248044.0,2023-03-18,2024-01-05,0.0075768991975639,0.0110885916872524,0.8988412421686821,268.01148611111125,0.1136622992213116,0.1264542545322826,10.250381872386832,26.14648795018053
Client-4404,669S1,Image Campaign,Robotics,13722.0,2707043.0,13574.0,330.0,246608.0,10159.0,2022-01-23,2022-07-05,0.0050688341587236,0.0240351855293316,0.7403828284705445,747.7510263463059,0.9892331113279482,1.3361102841505246,41.157706484966674,18.1679469097587
Client-945,J61PJJ,Video Campaign,Robotics,332561.0,32496506.0,60070.0,543.0,246361.0,182588.0,2022-09-18,2024-01-05,0.0102337403475063,0.0016332351858667,0.5490379503537398,453.5779869709764,0.1806285564857934,0.3289910221495913,110.59555785282272,4.1012315121605925
Client-2616,J61296,Image Campaign,Robotics,2.0,104.0,0.0,0.0,0.0,0.0,2022-09-14,2022-09-15,0.0163934426229508,0.0,0.0,,0.079894669059664,,,0.0
Client-2757,2491P4,Video Campaign,Transportation,243271.0,39137057.0,5634.0,0.0,0.0,4353.0,2022-01-14,2022-06-23,0.0062158697114823,0.0,0.0178930192417217,,0.023157621148199,1.2942265827447217,,0.0
Client-194,4JJS2A,Image Campaign,Robotics,16035.0,1542660.0,2741.0,565.0,46806.0,12696.0,2023-11-10,2024-01-05,0.0103945464583606,0.0352504638218923,0.7917307182613305,82.8053383308271,0.1709394978112478,0.2159061078072569,4.849283648434871,17.075787752187463
Client-427,2S9JJ2,Video Campaign,Robotics,1062.0,183768.0,126.0,3.0,144.0,366.0,2022-01-06,2022-01-13,0.0057817371113516,0.0024,0.3448,56.626666666666665,0.1189108167709383,0.3448689581523735,49.54617365455766,1.14290695910193
Client-601,4A1999,Image Campaign,Robotics,87196.0,11168438.0,9884.0,614.0,66534.0,70197.0,2023-05-05,2024-01-05,0.0078073942684635,0.0070381346018872,0.8050475707712704,108.41398224869332,0.1133494029085772,0.1407983913298236,16.105034830988206,6.731682569235464
Client-679,29AS1J,Image Campaign,Robotics,1955.0,456466.0,287.0,85.0,4185.0,1596.0,2022-01-23,2022-02-12,0.004282902467138,0.0434782608695652,0.8165217391304348,49.230171866497365,0.1467767587551879,0.1797585437363856,3.375865451369323,14.58297807648956
Client-4405,J99PSJ,Image Campaign,Robotics,20431.0,1719363.0,3591.0,2367.0,93559.0,16734.0,2023-04-22,2024-01-05,0.0118831509111223,0.1158630444731039,0.8190289969630153,39.52207540394974,0.1757563348510078,0.214591101783597,1.516931784852307,26.05395694032328
Client-2196,2P2A92,Image Campaign,Transportation,21162.0,8258357.0,16500.0,247.0,379987.0,16730.0,2022-01-23,2022-12-08,0.0025625497004131,0.0116881551994216,0.7905370124914648,1536.230240549828,0.7796878373937473,0.986276195894326,66.70751920134751,23.0293415036606
